1755811,1.29,4.34,0.012,0.11,1.84e-05,0.0192
1759211,6.55,7.8,0.05,0.59,2.23e-05,0.0232
1759711,0.56,0.68,0.004,0.05,4.6e-06,0.00479
1763211,3.13,3.73,0.02,0.36,1.86e-05,0.0194
1763811,6.05,3.02,0.02,0.21,1.46e-05,0.0153
1764711,3.04,10.14,0.02,0.28,1.81e-05,0.0189
1764911,2.89,3.42,0.022,0.34,7.26e-06,0.00755
1765011,3.85,4.58,0.03,0.35,4.87e-05,0.0507
1766511,111.22,124.3,1.71,19.23,0.000198,16.81
1768711,3.14,5.5,0.02,0.28,2.34e-05,0.0243
1768811,1.05,1.25,0.007,0.1,7.64e-06,0.00795
1769211,0.059,0.29,0.00177,0.00885,1.47e-06,0.00153
1772411,0.32,0.38,0.002,0.013,6.86e-07,0.000714
1773811,22.16,26.38,0.16,3.31,0.000132,0.14
1774811,1.17,1.39,0.008,2.69,2.85e-06,0.00296
1778711,5.32,6.45,0.04,7.01,2.35e-05,0.0241
1779711,0.2,0.24,0.001,0.022,0.000582,0.61
1783911,0.01,1.63,0.07,8.04,0.000184,0.00169
1787211,18.09,15.95,0.0377,0.25,2.23e-05,0.32
1816011,0.02,0.03,0.0002,0.38,6.67e-05,0.00139
1831911,5.14,6.12,0.0367,1.36,3.06e-05,0.0318
1862811,2.44,2.89,0.18,0.22,1.42e-05,0.015
