394,La Salle,IL,100.4,11.2,52469,88.1,15.9
395,Lawrence,IL,45.2,8.8,38326,79.3,10.5
396,Lee,IL,49.7,9.6,49451,86,15.4
397,Livingston,IL,37.3,8.6,52835,84.9,13.7
398,Logan,IL,49,8.5,48714,85.9,16.8
399,McDonough,IL,55.3,9.4,34186,91.6,33.5
400,McHenry,IL,511.9,8.8,76909,91.9,31.9
401,Mclean,IL,143.3,7.6,59410,93.4,41.1
402,Macon,IL,190.8,10.9,45987,87.1,20.8
403,Macoupin,IL,55.4,8.9,48739,88.3,15.3
404,Madison,IL,376.3,8.6,53143,89.8,23.3
405,Marion,IL,68.9,10.9,40097,84.9,13.6
406,Marshall,IL,32.7,7.5,51642,90.7,16.5
407,Mason,IL,27.2,10.9,42929,83.8,15.9
408,Massac,IL,65,9.8,40885,84.3,15.6
409,Menard,IL,40.4,7.3,56943,90.7,21.2
410,Mercer,IL,29.3,7.1,51216,88.1,14
411,Monroe,IL,85.6,7.1,69291,91.5,23.6
412,Montgomery,IL,42.8,11.5,41925,84.1,12.5
413,Morgan,IL,62.5,8.6,44731,87.4,20.5
414,Moultrie,IL,44.2,7.6,48982,84.3,15.2
415,Ogle,IL,70.5,10.8,57094,87.9,19
416,Peoria,IL,301.2,8.4,50689,89,28.3
417,Perry,IL,50.6,11.9,41333,83,13.9
418,Piatt,IL,38.1,8.3,58837,91.9,22.8
419,Pike,IL,19.8,7.8,40668,84.9,12.1
420,Pope,IL,12.1,11,38651,87.2,10.7
421,Pulaski,IL,30.9,11.4,31712,78.2,11.2
422,Putnam,IL,37.5,9.3,52409,88,15.1
423,Randolph,IL,58.2,9.2,46148,79.9,11.6
424,Richland,IL,45.1,9.5,42305,89.3,18.9
425,Rock Island,IL,345,7.6,46726,86.8,22
426,St Clair,IL,410.6,9.9,50109,88.3,24.3
427,Saline,IL,65.6,9.2,36083,82.8,14
428,Sangamon,IL,227.4,7.8,53508,91.5,31.2
429,Schuyler,IL,17.3,7.2,43902,88.6,17.8
430,Scott,IL,21.3,8.7,50702,88.5,18.3
431,Shelby,IL,29.5,9,44689,88.2,14.5
432,Stark,IL,20.8,8.8,49693,89.3,14.3
433,Stephenson,IL,84.5,9.5,43410,88.7,17.8
434,Tazewell,IL,208.6,7.6,54617,90.9,23.5
435,Union,IL,43.1,11.1,40696,82.6,18.6
436,Vermilion,IL,90.9,10,40463,85.8,14
437,Wabash,IL,53.5,8.7,47426,87.3,16
438,Warren,IL,32.6,8.5,42773,85.5,18.6
439,Washington,IL,26.2,7.5,53036,87.1,18.1
440,Wayne,IL,23.5,8.6,40654,84.1,12.5
441,White,IL,29.6,8.3,43639,85.3,12.7
442,Whiteside,IL,85.5,9.8,46444,86.5,15.6
443,Will,IL,809.6,9.8,76453,90.2,31.3
444,Williamson,IL,157.9,8.6,41319,88.4,22
445,Winnebago,IL,575.2,11.5,47597,85.3,21.2
446,Woodford,IL,73.3,6.4,66198,93,24.3
447,Adams,IN,101.4,8.2,46549,84,13.3
448,Allen,IN,540.6,8.3,49767,88.9,26.3
449,Bartholomew,IN,188.7,6.5,53692,89,27.2
450,Benton,IN,21.8,8.1,47240,89.2,15.1
451,Blackford,IN,77.3,10.6,40214,86.4,10.5
452,Boone,IN,133.9,6.4,68284,93.3,39.4
453,Brown,IN,48.9,6.9,50503,88.5,22.9
454,Carroll,IN,54.1,7.6,49232,89,14.4
455,Cass,IN,94.5,8.9,42679,83.5,14.3
456,Clark,IN,295.6,7.2,49130,85.8,18.5
457,Clay,IN,75.2,10,46916,87.6,14.3
458,Clinton,IN,82,8.1,48352,82.3,13.1
459,Crawford,IN,35.1,9.6,40354,81.1,12.5
460,Daviess,IN,73.7,6.5,45231,75.4,11.8
461,Dearborn,IN,164.1,8,57146,88.7,17.7
462,Decatur,IN,69.1,8.4,47810,84.8,13.8
463,De Kalb,IN,116.4,8.7,47099,88,15.4
464,Delaware,IN,300.1,10.4,38730,85.1,22.2
465,Dubois,IN,98,6,53997,85.6,19.7
466,Elkhart,IN,426.5,9.3,47308,79.9,17.9
467,Fayette,IN,112.9,11.7,35802,76.9,8.7
468,Floyd,IN,504.1,7.1,52803,87.7,21.7
469,Fountain,IN,43.6,8.7,44802,83.7,10.9
470,Franklin,IN,60.1,7.5,52234,84.8,16.8
471,Fulton,IN,56.6,8.4,42330,85.8,13.4
472,Gibson,IN,68.7,7.5,48171,89.4,14.4
473,Grant,IN,169.2,10.3,39377,84,16.3
474,Greene,IN,61.1,9.2,43869,84.8,11
475,Hamilton,IN,696.4,6.1,84449,96,54.4
476,Hancock,IN,228.8,7,62184,91.7,24.8
477,Harrison,IN,81.2,6.9,52263,87.5,14.8
478,Hendricks,IN,357.4,6.7,68192,93.4,31.6
479,Henry,IN,126.2,9.8,40519,84.5,13.9
480,Howard,IN,282.4,9.3,45022,87.1,19.7
481,Huntington,IN,97,8.4,47137,88.2,15.6
482,Jackson,IN,83.2,7.2,45666,85,13.4
483,Jasper,IN,59.8,8.5,55509,87.5,14.3
484,Jay,IN,55.4,7.6,40144,84.6,9.5
485,Jefferson,IN,89.9,8.5,43635,84.2,18.2
486,Jennings,IN,75.7,9.9,44815,84.1,8.1
487,Johnson,IN,435.8,7.2,62754,90.7,26.4
488,Knox,IN,74.5,7.5,40391,85.1,14.6
489,Kosciusko,IN,145.6,7.4,51141,84.5,20.2
490,Lagrange,IN,97.8,7.8,47057,60.5,10.4
491,Lake,IN,994.1,9.5,49443,86.5,19.5
492,La Porte,IN,186.3,9.6,46934,85.5,17
493,Lawrence,IN,102.7,10.5,43195,82.2,12.9
494,Madison,IN,291.3,9.7,44035,86.8,16.8
495,Marion,IN,2279.6,8.9,43197,84.2,27.1
496,Marshall,IN,106.1,8.4,48536,84.3,16.8
497,Martin,IN,30.8,7.1,43592,82.2,9.5
